organelle,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
golgi,2,207.0,389,34.0,128.0,0,10,11,8,14,15
golgi,2,207.0,664,2.0,2.0,5,13,12,7,14,13
golgi,2,207.0,819,8.0,24.0,1,13,3,7,15,5
golgi,2,207.0,993,15.0,36.0,3,11,4,9,14,6
golgi,2,207.0,1153,17.0,54.0,6,12,3,12,15,6
golgi,2,207.0,1334,24.0,72.0,7,10,13,15,13,16
golgi,2,207.0,1761,5.0,8.0,10,10,7,12,12,9
golgi,2,207.0,3148,28.0,81.0,14,12,9,23,15,12
golgi,15,193.0,26,2.0,2.0,0,3,8,1,5,9
golgi,15,193.0,200,40.0,60.0,0,9,8,4,14,11
golgi,15,193.0,288,4.0,6.0,1,13,7,4,14,9
golgi,15,193.0,671,34.0,81.0,1,2,6,10,5,9
golgi,15,193.0,824,70.0,160.0,3,10,7,13,14,11
golgi,15,193.0,1773,5.0,8.0,11,10,7,13,12,9
golgi,15,193.0,1774,4.0,8.0,9,13,9,11,15,11
golgi,15,193.0,1945,19.0,48.0,9,1,8,17,3,11
golgi,15,193.0,1948,12.0,32.0,12,9,7,16,13,9
golgi,15,193.0,2369,2.0,2.0,14,1,10,16,2,11
golgi,15,193.0,2373,10.0,16.0,13,5,6,17,7,8
golgi,15,193.0,2584,1.0,1.0,15,10,8,16,11,9
golgi,15,193.0,2968,4.0,8.0,17,5,6,19,7,8
golgi,17,195.0,672,1.0,1.0,5,2,4,6,3,5
golgi,18,90.0,999,25.0,54.0,3,2,7,9,5,10
golgi,18,90.0,1343,60.0,132.0,5,1,6,16,5,9
golgi,18,90.0,1567,9.0,16.0,8,8,3,12,10,5
golgi,18,90.0,1771,5.0,6.0,11,1,6,13,2,9
golgi,18,90.0,2372,6.0,10.0,12,0,4,17,1,6
golgi,18,90.0,2375,19.0,36.0,14,2,6,18,5,9
golgi,18,90.0,2377,2.0,2.0,13,8,2,15,9,3
golgi,18,90.0,2378,1.0,1.0,14,9,3,15,10,4
golgi,22,106.0,36,20.0,48.0,0,0,6,3,4,10
golgi,22,106.0,37,15.0,20.0,0,1,11,5,3,13
golgi,22,106.0,825,32.0,60.0,3,0,6,8,3,10
golgi,22,106.0,1347,22.0,36.0,8,0,6,12,3,9
golgi,22,106.0,1348,6.0,12.0,7,1,11,10,3,13
golgi,22,106.0,1774,1.0,1.0,11,0,10,12,1,11
golgi,22,106.0,1775,6.0,8.0,10,1,11,12,3,13
golgi,22,106.0,1949,11.0,54.0,11,0,6,14,3,12
golgi,22,106.0,2161,32.0,90.0,11,0,6,17,3,11
golgi,22,106.0,2789,35.0,81.0,14,2,8,23,5,11
golgi,26,201.0,1569,36.0,96.0,1,0,12,13,2,16
golgi,30,199.0,205,27.0,42.0,0,6,15,7,9,17
golgi,30,199.0,533,14.0,30.0,3,7,15,8,10,17
golgi,30,199.0,1168,11.0,18.0,7,6,15,10,9,17
golgi,30,199.0,2163,18.0,27.0,9,5,16,18,8,17
golgi,30,199.0,2164,7.0,9.0,11,8,15,14,11,16
golgi,30,199.0,2383,10.0,20.0,13,8,15,18,10,17
golgi,33,202.0,1356,180.0,400.0,0,5,1,20,10,5
golgi,33,202.0,3492,7.0,18.0,19,6,2,22,9,4
golgi,35,189.0,295,17.0,40.0,0,8,12,5,10,16
golgi,35,189.0,1360,69.0,156.0,4,8,11,17,12,14
golgi,35,189.0,3157,14.0,45.0,16,1,13,21,4,16
golgi,35,189.0,3331,10.0,16.0,19,1,14,23,3,16
golgi,36,148.0,536,26.0,81.0,0,2,10,9,5,13
golgi,36,148.0,680,22.0,48.0,3,1,11,11,4,13
golgi,36,148.0,684,5.0,6.0,4,11,4,6,12,7
golgi,36,148.0,835,31.0,63.0,1,5,5,8,8,8
golgi,36,148.0,838,7.0,18.0,5,10,4,8,12,7
golgi,36,148.0,1008,9.0,16.0,5,7,1,9,9,3
golgi,36,148.0,1009,9.0,18.0,6,10,5,9,12,8
golgi,36,148.0,1357,23.0,64.0,7,6,5,11,10,9
golgi,36,148.0,1578,7.0,16.0,9,8,2,13,10,4
golgi,36,148.0,1780,12.0,27.0,10,5,0,13,8,3
golgi,36,148.0,1781,23.0,60.0,11,6,5,16,9,9
golgi,36,148.0,1782,11.0,24.0,10,9,7,14,12,9
golgi,36,148.0,2389,22.0,75.0,12,4,1,17,9,4
golgi,36,148.0,2592,4.0,6.0,13,1,12,16,3,13
golgi,36,148.0,2594,31.0,81.0,14,5,1,23,8,4
golgi,36,148.0,2796,13.0,36.0,15,7,6,21,10,8
golgi,36,148.0,2973,6.0,12.0,15,1,12,18,3,14
golgi,36,148.0,3158,9.0,36.0,17,1,11,21,4,14
golgi,36,148.0,3333,9.0,12.0,19,7,1,23,8,4
golgi,37,157.0,679,2.0,2.0,2,1,0,4,2,1
golgi,37,157.0,1353,2.0,2.0,10,1,0,12,2,1
golgi,38,252.0,843,2.0,2.0,2,12,17,4,13,18
golgi,38,252.0,1962,9.0,60.0,10,2,19,15,6,22
golgi,38,252.0,2597,4.0,8.0,14,2,19,16,4,21
golgi,38,252.0,2600,8.0,16.0,14,6,18,18,8,20
golgi,38,252.0,2797,6.0,36.0,15,2,19,19,5,22
golgi,38,252.0,3495,3.0,3.0,18,7,19,21,8,20
golgi,38,252.0,4063,5.0,12.0,22,10,18,25,12,20
golgi,38,252.0,4161,8.0,12.0,25,10,17,28,12,19
golgi,40,104.0,57,20.0,48.0,0,3,1,3,7,5
golgi,40,104.0,298,42.0,84.0,1,4,2,8,8,5
golgi,40,104.0,1783,156.0,408.0,4,0,2,21,6,6
golgi,41,116.0,404,5.0,8.0,2,4,0,4,6,2
golgi,41,116.0,839,32.0,36.0,4,0,4,10,3,6
golgi,41,116.0,841,2.0,2.0,4,4,0,6,5,1
golgi,41,116.0,1579,8.0,20.0,9,0,4,14,2,6
golgi,44,192.0,2798,1.0,1.0,16,2,4,17,3,5
golgi,56,134.0,1178,148.0,270.0,0,6,7,15,9,13
golgi,56,134.0,2800,12.0,24.0,15,9,7,19,11,10
golgi,56,134.0,3164,6.0,18.0,17,9,8,20,11,11
golgi,56,134.0,3337,4.0,8.0,19,9,8,21,11,10
golgi,56,134.0,3657,6.0,8.0,20,10,9,24,11,11
golgi,59,213.0,848,101.0,330.0,0,1,8,11,6,14
golgi,59,213.0,1016,67.0,150.0,7,0,10,17,5,13
golgi,59,213.0,1972,10.0,18.0,12,1,12,15,4,14
golgi,59,213.0,2801,13.0,32.0,14,3,7,18,5,11
golgi,59,213.0,3165,14.0,36.0,17,2,9,21,5,12
golgi,60,204.0,63,16.0,36.0,0,11,8,3,14,12
golgi,60,204.0,304,12.0,36.0,1,12,9,5,15,12
golgi,60,204.0,409,6.0,12.0,3,11,9,5,13,12
golgi,60,204.0,688,6.0,12.0,4,12,1,7,14,3
golgi,60,204.0,689,33.0,60.0,4,10,8,9,14,11
golgi,60,204.0,1367,2.0,2.0,9,13,11,11,14,12
golgi,60,204.0,2392,3.0,4.0,13,9,6,15,10,8
golgi,60,204.0,2605,6.0,12.0,14,9,6,17,11,8
golgi,60,204.0,3338,9.0,20.0,16,9,7,21,11,9
golgi,60,204.0,3805,14.0,30.0,20,10,7,25,13,9
golgi,61,166.0,302,19.0,48.0,0,1,13,8,4,15
golgi,61,166.0,408,12.0,20.0,3,2,13,8,4,15
golgi,61,166.0,1364,19.0,28.0,6,0,8,13,2,10
golgi,61,166.0,3657,3.0,3.0,20,1,13,23,2,14
golgi,62,139.0,218,3.0,4.0,1,10,6,2,12,8
golgi,62,139.0,305,2.0,2.0,2,11,5,3,12,7
golgi,62,139.0,546,38.0,84.0,1,8,2,8,12,5
golgi,62,139.0,690,94.0,192.0,0,8,6,12,12,10
golgi,62,139.0,1018,40.0,96.0,3,7,1,11,11,4
golgi,62,139.0,1974,9.0,18.0,10,8,1,13,11,3
golgi,62,139.0,1979,3.0,4.0,12,9,9,13,11,11
golgi,62,139.0,2394,19.0,36.0,12,8,1,16,11,4
golgi,62,139.0,2395,1.0,1.0,14,9,8,15,10,9
golgi,62,139.0,2804,18.0,54.0,15,8,1,21,11,4
golgi,62,139.0,4162,4.0,6.0,24,9,7,27,10,9
golgi,63,132.0,852,8.0,12.0,4,11,8,10,12,10
golgi,63,132.0,2397,1.0,1.0,14,12,7,15,13,8
golgi,64,118.0,1976,34.0,48.0,5,6,11,17,10,12
golgi,66,152.0,70,6.0,12.0,0,10,2,2,13,4
golgi,66,152.0,694,14.0,32.0,3,7,0,7,11,2
golgi,66,152.0,851,12.0,36.0,5,5,1,8,8,5
golgi,66,152.0,853,7.0,24.0,4,6,0,8,9,2
golgi,66,152.0,1180,21.0,64.0,6,4,2,10,8,6
golgi,66,152.0,1587,29.0,72.0,7,6,0,15,9,3
golgi,66,152.0,1592,38.0,105.0,6,9,5,13,14,8
golgi,66,152.0,1980,2.0,2.0,12,5,3,13,6,5
golgi,66,152.0,2399,1.0,1.0,14,9,7,15,10,8
golgi,66,152.0,2612,2.0,2.0,15,13,4,16,14,6
golgi,66,152.0,2810,7.0,12.0,15,12,5,18,14,7
golgi,66,152.0,3169,8.0,15.0,15,7,0,20,10,1
golgi,66,152.0,3497,2.0,2.0,19,6,4,21,7,5
golgi,66,152.0,3499,2.0,2.0,20,7,0,21,9,1
golgi,67,151.0,64,15.0,36.0,0,0,10,3,4,13
golgi,67,151.0,216,3.0,4.0,1,0,9,2,2,11
golgi,67,151.0,303,9.0,16.0,2,0,9,6,2,11
golgi,67,151.0,691,24.0,84.0,3,1,10,10,5,13
golgi,67,151.0,693,27.0,60.0,3,4,9,8,8,12
golgi,67,151.0,1020,1.0,1.0,7,6,6,8,7,7
golgi,67,151.0,1181,2.0,2.0,8,6,7,10,7,8
golgi,67,151.0,1369,24.0,54.0,6,6,11,12,9,14
golgi,67,151.0,1586,2.0,2.0,10,4,11,11,5,13
golgi,67,151.0,1982,17.0,36.0,9,5,6,15,7,9
golgi,67,151.0,1985,8.0,18.0,12,6,12,15,9,14
golgi,67,151.0,2396,52.0,120.0,10,2,10,20,5,14
golgi,67,151.0,2398,1.0,1.0,14,5,8,15,6,9
golgi,67,151.0,2608,29.0,81.0,12,7,11,21,10,14
golgi,67,151.0,2803,10.0,16.0,15,0,8,19,2,10
golgi,67,151.0,3339,4.0,4.0,19,0,8,21,1,10
golgi,69,183.0,71,20.0,72.0,0,7,10,3,11,16
golgi,69,183.0,220,26.0,72.0,0,8,9,4,11,15
golgi,69,183.0,412,111.0,325.0,2,6,11,15,11,16
golgi,69,183.0,413,10.0,18.0,3,8,8,5,11,11
golgi,69,183.0,696,30.0,60.0,4,8,7,9,11,11
golgi,69,183.0,1023,16.0,48.0,7,7,9,10,11,13
golgi,69,183.0,1591,24.0,60.0,9,7,8,14,10,12
golgi,69,183.0,1988,14.0,24.0,12,7,8,16,10,10
golgi,69,183.0,1990,2.0,2.0,11,14,8,12,15,10
golgi,69,183.0,2178,6.0,6.0,12,14,8,14,15,11
golgi,69,183.0,2400,8.0,18.0,13,12,9,16,15,11
golgi,69,183.0,2613,38.0,84.0,13,12,6,20,15,10
golgi,69,183.0,3170,49.0,90.0,17,10,7,23,15,10
golgi,73,170.0,79,2.0,2.0,0,11,7,1,13,8
golgi,73,170.0,311,18.0,36.0,0,11,5,6,13,8
golgi,73,170.0,419,7.0,9.0,2,3,0,5,6,1
golgi,73,170.0,557,6.0,12.0,3,4,2,5,7,4
golgi,73,170.0,698,25.0,60.0,3,4,2,8,7,6
golgi,73,170.0,860,13.0,27.0,6,5,2,9,8,5
golgi,73,170.0,1790,2.0,2.0,11,2,14,13,3,15
golgi,73,170.0,1991,12.0,27.0,11,5,4,14,8,7
golgi,73,170.0,2812,59.0,144.0,10,6,2,22,9,6
golgi,73,170.0,3177,1.0,1.0,18,11,4,19,12,5
golgi,73,170.0,3178,4.0,8.0,18,10,12,20,12,14
golgi,73,170.0,3346,8.0,12.0,18,10,4,21,12,6
golgi,73,170.0,3506,2.0,2.0,20,11,12,22,12,13
golgi,73,170.0,3665,6.0,6.0,22,1,12,28,2,13
golgi,74,201.0,82,11.0,16.0,0,9,11,2,11,15
golgi,74,201.0,84,2.0,2.0,0,11,5,2,12,6
golgi,74,201.0,85,7.0,12.0,0,11,4,2,14,6
golgi,74,201.0,310,22.0,48.0,0,2,3,6,4,7
golgi,74,201.0,699,46.0,90.0,2,5,6,12,8,9
golgi,74,201.0,859,14.0,24.0,4,2,3,8,4,6
golgi,74,201.0,862,1.0,1.0,5,16,5,6,17,6
golgi,74,201.0,1186,9.0,18.0,7,2,3,10,4,6
golgi,74,201.0,1378,67.0,108.0,3,7,3,15,10,6
golgi,74,201.0,1600,49.0,99.0,5,13,2,16,16,5
golgi,74,201.0,1990,12.0,20.0,8,1,5,13,3,7
golgi,74,201.0,2178,1.0,1.0,13,1,5,14,2,6
golgi,74,201.0,2402,31.0,72.0,12,4,11,18,8,14
golgi,74,201.0,2987,3.0,4.0,17,6,7,19,7,9
golgi,74,201.0,3175,3.0,4.0,18,6,8,20,8,9
golgi,74,201.0,3347,21.0,45.0,16,9,12,21,12,15
golgi,74,201.0,3810,15.0,36.0,20,7,8,26,9,11
golgi,74,201.0,3811,23.0,100.0,19,6,10,24,11,14
golgi,74,201.0,4066,40.0,72.0,22,9,11,30,12,14
golgi,76,166.0,78,20.0,27.0,0,3,12,3,6,15
golgi,76,166.0,80,19.0,45.0,0,7,5,5,10,8
golgi,76,166.0,83,1.0,1.0,0,10,7,1,11,8
golgi,76,166.0,560,19.0,32.0,0,9,13,8,11,15
golgi,76,166.0,1598,146.0,320.0,1,2,13,21,6,17
golgi,76,166.0,2616,23.0,72.0,9,6,3,17,9,6
golgi,76,166.0,2617,8.0,12.0,13,10,5,19,11,7
golgi,76,166.0,2989,12.0,24.0,16,7,4,20,10,6
golgi,76,166.0,3176,3.0,4.0,18,7,4,20,8,6
golgi,76,166.0,3505,7.0,18.0,19,6,4,22,9,6
golgi,76,166.0,3812,5.0,5.0,21,9,14,26,10,15
golgi,78,88.0,1377,6.0,28.0,6,0,8,13,2,10
golgi,78,88.0,1793,15.0,16.0,9,4,0,17,6,1
golgi,78,88.0,1993,30.0,72.0,6,7,5,15,9,9
golgi,78,88.0,2403,17.0,45.0,12,6,4,17,9,7
golgi,78,88.0,2614,12.0,18.0,13,0,4,19,1,7
golgi,78,88.0,2988,16.0,45.0,14,5,3,19,8,6
golgi,78,88.0,3507,15.0,36.0,19,7,4,23,10,7
golgi,85,177.0,88,2.0,3.0,0,5,15,3,6,16
golgi,85,177.0,226,4.0,4.0,0,2,1,4,3,2
golgi,85,177.0,313,1.0,1.0,2,3,14,3,4,15
golgi,85,177.0,314,2.0,2.0,2,4,15,4,5,16
golgi,85,177.0,421,1.0,1.0,3,3,13,4,4,14
golgi,85,177.0,702,5.0,6.0,3,2,13,6,4,14
golgi,85,177.0,1192,27.0,64.0,4,1,10,12,3,14
golgi,85,177.0,1194,18.0,40.0,5,6,1,10,8,5
golgi,85,177.0,1195,1.0,1.0,8,12,13,9,13,14
golgi,85,177.0,1383,20.0,40.0,2,10,2,12,12,4
golgi,85,177.0,1604,62.0,117.0,5,10,4,18,13,7
golgi,85,177.0,1994,51.0,144.0,9,11,10,21,14,14
golgi,85,177.0,2183,15.0,20.0,9,6,3,14,8,5
golgi,85,177.0,2189,3.0,3.0,12,11,14,15,12,15
golgi,85,177.0,2406,36.0,105.0,9,5,0,16,8,5
golgi,85,177.0,2411,13.0,36.0,12,10,2,18,12,5
golgi,85,177.0,2622,1.0,1.0,21,9,15,22,10,16
golgi,85,177.0,2993,41.0,54.0,15,6,1,24,8,4
golgi,85,177.0,3813,31.0,63.0,16,1,2,23,4,5
golgi,85,177.0,3947,67.0,192.0,18,1,1,30,5,5
golgi,86,187.0,2180,9.0,10.0,11,0,11,16,1,13
golgi,97,102.0,100,4.0,4.0,0,5,10,2,7,11
golgi,97,102.0,1803,4.0,4.0,11,8,10,15,9,11
golgi,97,102.0,3187,38.0,72.0,12,2,8,20,5,11
golgi,97,102.0,3515,14.0,30.0,19,2,8,24,4,11
golgi,98,182.0,327,6.0,8.0,3,13,8,7,14,10
golgi,98,182.0,710,6.0,9.0,4,7,14,7,8,17
golgi,98,182.0,874,44.0,224.0,2,4,9,10,8,16
golgi,98,182.0,875,5.0,6.0,6,10,13,9,12,14
golgi,98,182.0,1039,9.0,18.0,7,4,9,9,7,12
golgi,98,182.0,1199,5.0,12.0,8,3,11,10,5,14
golgi,98,182.0,1395,2.0,2.0,8,10,12,10,11,13
golgi,98,182.0,2001,1.0,1.0,12,10,12,13,11,13
golgi,98,182.0,2199,28.0,72.0,6,5,15,18,8,17
golgi,98,182.0,2419,57.0,180.0,10,4,10,19,8,15
golgi,98,182.0,2625,2.0,2.0,16,0,4,17,1,6
golgi,98,182.0,2629,17.0,36.0,15,5,12,19,8,15
golgi,98,182.0,2631,1.0,1.0,15,11,13,16,12,14
golgi,98,182.0,2998,15.0,36.0,16,5,14,22,7,17
golgi,98,182.0,3188,8.0,12.0,18,6,14,22,7,17
golgi,102,163.0,1040,5.0,8.0,7,0,10,11,1,12
golgi,102,163.0,1204,11.0,16.0,7,9,1,11,11,3
golgi,102,163.0,1393,2.0,2.0,9,0,10,11,1,11
golgi,102,163.0,1399,33.0,54.0,6,4,2,15,7,4
golgi,102,163.0,1401,7.0,12.0,7,12,6,10,14,8
golgi,102,163.0,1616,4.0,4.0,9,10,11,13,11,12
golgi,102,163.0,1811,18.0,40.0,10,12,6,15,14,10
golgi,102,163.0,1999,10.0,16.0,11,0,10,15,2,12
golgi,102,163.0,3194,4.0,4.0,17,9,0,21,10,1
golgi,102,163.0,3517,2.0,2.0,20,7,12,22,8,13
golgi,104,89.0,1612,6.0,8.0,9,0,6,13,2,7
golgi,104,89.0,1805,3.0,3.0,10,0,7,13,1,8
golgi,108,210.0,106,52.0,150.0,0,0,10,6,5,15
golgi,108,210.0,331,26.0,99.0,0,4,0,11,7,3
golgi,108,210.0,333,4.0,4.0,1,6,1,3,7,3
golgi,108,210.0,577,7.0,12.0,4,5,1,7,7,3
golgi,108,210.0,876,13.0,45.0,4,1,13,9,4,16
golgi,108,210.0,1208,52.0,120.0,3,10,6,11,15,9
golgi,108,210.0,1619,25.0,96.0,4,13,5,12,16,9
golgi,108,210.0,1816,7.0,18.0,10,9,6,13,11,9
golgi,108,210.0,1819,13.0,32.0,11,12,6,13,16,10
golgi,108,210.0,2006,3.0,4.0,12,9,8,14,11,9
golgi,108,210.0,2008,5.0,6.0,12,13,6,13,15,9
golgi,108,210.0,2205,16.0,18.0,11,4,16,17,7,17
golgi,108,210.0,2211,17.0,45.0,13,13,5,16,16,10
golgi,108,210.0,2637,5.0,8.0,15,15,4,17,16,8
golgi,108,210.0,2825,27.0,72.0,13,8,6,19,11,10
golgi,108,210.0,2826,133.0,400.0,6,10,1,26,15,5
golgi,108,210.0,3197,22.0,54.0,17,9,6,23,12,9
golgi,108,210.0,3199,19.0,32.0,17,14,4,21,16,8
golgi,108,210.0,3358,11.0,16.0,17,7,14,21,9,16
golgi,108,210.0,3520,12.0,30.0,17,6,15,22,9,17
golgi,108,210.0,3523,11.0,30.0,20,14,5,25,16,8
golgi,108,210.0,3825,5.0,6.0,22,12,6,25,14,7
golgi,108,210.0,4168,2.0,2.0,25,1,11,27,2,12
golgi,110,182.0,110,12.0,16.0,0,4,12,4,6,14
golgi,110,182.0,113,7.0,7.0,0,14,11,7,15,12
golgi,110,182.0,233,7.0,8.0,0,4,7,4,6,8
golgi,110,182.0,716,19.0,60.0,3,4,6,8,8,9
golgi,110,182.0,717,17.0,24.0,0,8,0,6,10,2
golgi,110,182.0,878,1.0,1.0,6,2,13,7,3,14
golgi,110,182.0,881,28.0,88.0,0,6,0,11,10,2
golgi,110,182.0,1618,82.0,132.0,6,5,6,17,9,9
golgi,110,182.0,1809,5.0,6.0,10,3,14,13,5,15
golgi,110,182.0,1811,4.0,24.0,10,6,0,16,8,2
golgi,110,182.0,2204,2.0,4.0,13,2,13,14,4,15
golgi,110,182.0,2208,3.0,3.0,11,11,0,14,12,1
golgi,110,182.0,2422,12.0,24.0,9,9,0,17,12,1
golgi,110,182.0,2634,4.0,4.0,15,6,1,17,8,2
golgi,110,182.0,2636,16.0,30.0,12,11,9,17,14,11
golgi,110,182.0,3193,5.0,12.0,17,1,11,20,3,13
golgi,110,182.0,3195,27.0,72.0,15,3,6,21,7,9
golgi,110,182.0,3196,13.0,24.0,16,7,0,19,11,2
golgi,110,182.0,3361,24.0,63.0,17,11,9,24,14,12
golgi,110,182.0,3519,29.0,96.0,19,4,5,25,8,9
golgi,110,182.0,3521,21.0,36.0,19,7,0,25,10,2
golgi,110,182.0,3681,2.0,2.0,21,11,9,23,12,10
golgi,110,182.0,4074,27.0,72.0,20,0,10,28,3,13
golgi,110,182.0,4169,8.0,18.0,25,0,10,28,2,13
golgi,115,220.0,117,20.0,64.0,0,12,4,4,16,8
golgi,115,220.0,444,25.0,60.0,1,13,3,6,16,7
golgi,115,220.0,1046,1.0,1.0,7,11,6,8,12,7
golgi,115,220.0,1215,27.0,66.0,4,16,5,15,18,8
golgi,115,220.0,1406,50.0,90.0,5,10,8,15,13,11
golgi,115,220.0,1407,39.0,120.0,5,12,1,11,17,5
golgi,115,220.0,2010,43.0,96.0,10,13,1,18,17,4
golgi,115,220.0,2212,12.0,30.0,11,9,0,16,12,2
golgi,115,220.0,3201,28.0,96.0,12,9,0,24,13,2
golgi,115,220.0,3366,2.0,2.0,19,13,5,21,14,6
golgi,117,198.0,121,5.0,8.0,0,15,10,2,17,12
golgi,117,198.0,339,7.0,27.0,1,14,9,4,17,12
golgi,117,198.0,584,2.0,4.0,3,15,10,4,17,12
golgi,117,198.0,1045,16.0,24.0,5,7,16,11,9,18
golgi,117,198.0,1047,75.0,208.0,2,12,7,15,16,11
golgi,117,198.0,1405,5.0,5.0,6,11,1,11,12,2
golgi,117,198.0,2830,2.0,2.0,15,9,11,17,10,12
golgi,117,198.0,3006,3.0,3.0,16,13,10,19,14,11
golgi,117,198.0,3363,21.0,36.0,17,8,15,23,10,18
golgi,117,198.0,3524,12.0,21.0,15,9,9,22,10,12
golgi,118,151.0,118,3.0,4.0,0,11,9,1,13,11
golgi,118,151.0,337,18.0,36.0,0,8,8,4,11,11
golgi,118,151.0,438,5.0,12.0,2,6,8,5,8,10
golgi,118,151.0,445,16.0,72.0,1,11,7,9,14,10
golgi,118,151.0,883,18.0,36.0,4,8,3,8,11,6
golgi,118,151.0,885,1.0,1.0,6,11,0,7,12,1
golgi,118,151.0,1210,14.0,48.0,6,7,2,10,11,5
